Activity,Title,Description,When,Where
Lambda Chi Alpha International Fraternity Alpha Psi Chapter,"Member, VP of Academic Advancement, VP of Internal Relations",Oversaw the academic performance of the entire chapter leading to the highest house GPA increase in the last 5 years and facilitate the enhanced involvement of each brother and encouraged involvement for campus activities and organizations. Organized Committee systems and created incentive programs to encourage more internal and external involvement.,November 2013 - Present,"Seattle, WA"
University of Washington Ultimate Frisbee,Intramural,Competed in a season's worth of games and participated in tournaments in the region,September - December 2013,"Seattle, WA"
Marine Science Club,"Member, Treasurer",Did public outreach for Marine awareness and cleanliness as well as managed funds and scheduled field trips.,March 2009 - May 2012,"Kent, WA"
