Company,Position,Description,Where,When
Street Treats Food Truck,Social Media and Public Relations Intern,"Updated Social Media websites such as Twitter, Instagram, Facebook, and Pinterest. Updated a calendar and reported to the public on special events and helped plan events as well as public outreach for publicity. ","Seattle, WA",April - October 2015
Sand Point Country Club,Pro Shop - Outdoor Services,Cleaned and maintained Country Club and member equipment as well as provided outdoor .,"Seattle, WA",May - October 2015
Seattle International Film Festival,Chief Experience Officer,"Served as the primary on-site contact for venue crew volunteers, managed venue crew volunteers, managed venue crew volunteer staff, assigned venue volunteers positions for each screening, and extended excellent service to internal and external customers at the festival.","Seattle, WA",April - June 2014
Papa Murphy's Take and Bake,Shift Leader,"Worked as a Crew Member until promoted to Shift Leader. Shift Leader tasks include money handling, customer service, scheduling, inventory, fundraising, and conducting interviews.","Panther Lake, WA",April 2011 - January 2015
